stationId,stationLon,stationLat,capacity,charge_speed_station
165_ac,121.170986,30.901084,3.0,7.0
166_ac,121.903894,30.901095,3.0,3.5
167_ac,121.758696,30.901881,10.0,7.0
168_ac,121.172785,30.901971,24.0,7.0
169_ac,121.932421,30.902315,59.0,7.0
170_ac,121.154637,30.902649,148.0,7.0
172_ac,121.927343,30.904179,14.0,4.0
174_ac,121.406052,30.904499,11.0,7.0
175_ac,121.170129,30.904686,3.0,7.0
176_ac,121.112133,30.905581,3.0,7.0
177_ac,121.159454,30.90562,12.0,3.5
178_ac,121.45042,30.905716,4.0,7.0
179_ac,121.403234,30.905807,10.0,7.0
180_ac,121.809095,30.906306,12.0,3.5
181_ac,121.815734,30.906417,12.0,3.5
182_ac,121.9182,30.906679,26.0,7.0
183_ac,121.02644,30.9067,12.0,7.0
184_ac,121.805057,30.906824,12.0,3.5
185_ac,121.461514,30.907665,16.0,7.0
189_ac,121.923291,30.909944,9.0,7.0
190_ac,121.923291,30.909944,16.0,7.0
192_ac,121.918091,30.911591,38.0,7.0
193_ac,121.491992,30.912068,20.0,7.0
194_ac,121.469787,30.912507,14.0,3.5
198_ac,121.664692,30.914391,12.0,3.5
200_ac,121.519626,30.915643,12.0,3.5
201_ac,121.519626,30.915643,12.0,3.5
204_ac,121.826513,30.916133,4.0,7.0
207_ac,121.625235,30.917308,6.0,7.0
209_ac,121.470578,30.917622,2.0,7.0
211_ac,121.472296,30.918309,11.0,3.8181818181818183
214_ac,121.519654,30.91929,12.0,3.5
215_ac,121.519643,30.919306,12.0,3.5
217_ac,121.492398,30.919652,6.0,3.5
219_ac,121.913748,30.920409,50.0,7.0
221_ac,121.4845,30.920926,12.0,7.0
223_ac,121.498849,30.922283,1.0,7.0
225_ac,121.931923,30.922389,5.0,7.0
226_ac,121.487783,30.923036,22.0,3.5
227_ac,121.91317,30.923595,29.0,7.0
228_ac,121.523972,30.923805,19.0,7.0
230_ac,121.645353,30.923945,12.0,3.5
232_ac,121.461962,30.924013,3.0,7.0
233_ac,121.509663,30.924051,8.0,7.0
235_ac,121.483556,30.925033,6.0,3.5
